url,success,doi_found,abstract_found,doi,abstract,extraction_method,error,source,category,domain
http://scienceblogs.com/aetiology/2007/09/life_imitates_art_imitating_li.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/aetiology/2007/09/life_imitates_art_imitating_li.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/grrlscientist/2007/09/black_box_warnings_on_antidepr.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/grrlscientist/2007/09/black_box_warnings_on_antidepr.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/thusspakezuska/2007/09/networked_science_whos_it_good.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/thusspakezuska/2007/09/networked_science_whos_it_good.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/denialism/2007/09/whats_killing_the_bees_iapv_ap.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/denialism/2007/09/whats_killing_the_bees_iapv_ap.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/denialism/2007/09/mythbusting_its_harder_than_yo.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/denialism/2007/09/mythbusting_its_harder_than_yo.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/neurophilosophy/2007/09/amazing_boomerang_photo.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/neurophilosophy/2007/09/amazing_boomerang_photo.php,main_url,scientific,scienceblogs.com
http://www.sciencepunk.com/v5/2007/09/water-surface-as-a-music-controller-toriton-plus/,False,False,False,,,,404 Client Error: Not Found for url: http://sciencepunk.com/v5/2007/09/water-surface-as-a-music-controller-toriton-plus/,main_url,scientific,sciencepunk.com
http://www.scienceblog.com/cms/creeptastic-moray-eels-have-jaws-alien-14134.html,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblog.com/cms/creeptastic-moray-eels-have-jaws-alien-14134.html,main_url,scientific,scienceblog.com
http://www.scienceinreview.com/2007/stem-cells-to-repair-the-heart.html,False,False,False,,,,"HTTPConnectionPool(host='www.scienceinreview.com', port=80): Max retries exceeded with url: /2007/stem-cells-to-repair-the-heart.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D6D22BC0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,scientific,scienceinreview.com
http://scienceblogs.com/thusspakezuska/2007/09/friday_bookshelf_james_d_watso.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/thusspakezuska/2007/09/friday_bookshelf_james_d_watso.php,main_url,scientific,scienceblogs.com
http://www.berkeley.edu/news/media/releases/2007/09/05_WhaleSonar.shtml,True,False,False,,,GenericHandler,,main_url,scientific,berkeley.edu
http://scienceblogs.com/catdynamics/2007/09/old_ice.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/catdynamics/2007/09/old_ice.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/digitalbio/2007/09/overwhelmed_by_information.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/digitalbio/2007/09/overwhelmed_by_information.php,main_url,scientific,scienceblogs.com
